file,split_double_bracket,paren_balanced,bracket_balanced,brace_balanced
tests/testthat.R,False,True,True,True
R/utils.R,False,True,True,True
R/project.R,False,True,True,True
tests/testthat/test-scoring.R,False,True,True,True
analysis/manuscript/original_source_snapshot/03_acquire_orthology_phenotypes.R,False,True,True,True
analysis/manuscript/original_source_snapshot/07_model_training.R,False,True,True,True
analysis/manuscript/original_source_snapshot/02_acquire_mozatlas_expression.R,False,True,True,True
analysis/manuscript/original_source_snapshot/06_build_feature_matrix.R,False,True,True,True
analysis/manuscript/original_source_snapshot/05_crispr_editability.R,False,True,True,True
analysis/manuscript/original_source_snapshot/01_acquire_genome_annotation.R,False,True,True,True
analysis/manuscript/original_source_snapshot/10_figures_tables.R,False,True,True,True
analysis/manuscript/original_source_snapshot/00_setup.R,False,True,True,True
analysis/manuscript/original_source_snapshot/09_explainability.R,False,True,True,True
analysis/manuscript/original_source_snapshot/helpers.R,False,True,True,True
analysis/manuscript/original_source_snapshot/11_update_manuscript_tables.R,False,True,True,True
analysis/manuscript/original_source_snapshot/run_all.R,False,True,True,True
analysis/manuscript/original_source_snapshot/04_acquire_ag1000g_variation.R,False,True,True,True
analysis/manuscript/original_source_snapshot/99_capture_session.R,False,True,True,True
analysis/manuscript/original_source_snapshot/08_validation_and_ranking.R,False,True,True,True
inst/pipeline/R/03_acquire_orthology_phenotypes.R,False,True,True,True
inst/pipeline/R/07_build_leakage_safe_modelling_sets.R,False,True,True,True
inst/pipeline/R/02_acquire_mozatlas_expression.R,False,True,True,True
inst/pipeline/R/06_build_feature_matrix.R,False,True,True,True
inst/pipeline/R/01_acquire_genome_annotation.R,False,True,True,True
inst/pipeline/R/14_integrate_population_genomics.R,False,True,True,True
inst/pipeline/R/15_ablation_and_validation.R,False,True,True,True
inst/pipeline/R/10_explain_final_ranking_and_figures.R,False,True,True,True
inst/pipeline/R/00_setup.R,False,True,True,True
inst/pipeline/R/09_integrate_pu_crispr_final_prioritization.R,False,True,True,True
inst/pipeline/R/05b_crispr_exon_aware_validation.R,False,True,True,True
inst/pipeline/R/16_build_publication_tables_and_figures.R,False,True,True,True
inst/pipeline/R/helpers.R,False,True,True,True
inst/pipeline/R/17_freeze_reproducible_release_bundle.R,False,True,True,True
inst/pipeline/R/11_model_specific_explainability.R,False,True,True,True
inst/pipeline/R/13_freeze_population_validation_panel.R,False,True,True,True
inst/pipeline/R/05a_crispr_reference_scan.R,False,True,True,True
inst/pipeline/R/12_bootstrap_rank_uncertainty.R,False,True,True,True
inst/pipeline/R/04_preliminary_genomewide_ranking.R,False,True,True,True
inst/pipeline/R/08_train_bagged_pu_models.R,False,True,True,True
