final_prepopulation_rank,gene_id,preliminary_rank,biological_discovery_percentile,pu_consensus_percentile,crispr_tractability_percentile,final_integrated_score,bootstrap_rank_median,bootstrap_rank_q025,bootstrap_rank_q975,probability_top10,probability_top20,probability_top50,bootstrap_stability_class
1,AGAP007999,87.0,0.991852801171732,0.991834080069374,0.985294117647059,0.99053544813609,1,1,1,1.0,1.0,1.0,very_high
2,AGAP005917,104.0,0.990388136213841,0.969287469287469,0.990196078431373,0.984019524579436,2,2,15,0.966,1.0,1.0,high
3,AGAP011966,88.0,0.991761259611864,0.98489666136725,0.96078431372549,0.983506490961205,3,3,5,1.0,1.0,1.0,very_high
4,AGAP004036,13.0,0.998809959721714,0.998193380546322,0.911764705882353,0.981215935201224,4,3,10,1.0,1.0,1.0,very_high
5,AGAP004825,60.0,0.994415964848041,0.993134846076023,0.926470588235294,0.980442553893886,5,2,8,1.0,1.0,1.0,very_high
6,AGAP003595,143.0,0.987001098498718,0.961844197138315,0.980392156862745,0.978132239763403,9,4,23,0.5715,0.959,1.0,high
7,AGAP007413,136.0,0.987641889417796,0.987931782049429,0.931372549019608,0.976474989127648,7,4,18,0.9235,1.0,1.0,high
8,AGAP009600,76.0,0.993500549249359,0.961410608469432,0.938725490196078,0.972918555204725,7,3,26,0.88,0.88,1.0,moderate
9,AGAP005763,166.0,0.98489564262175,0.970010117068941,0.946078431372549,0.972666542706067,12,5,18,0.4095,1.0,1.0,high
10,AGAP011204,195.0,0.9818747711461,0.993062581297875,0.906862745098039,0.970228708982021,11,8,20,0.448,1.0,1.0,high
11,AGAP009921,77.0,0.992859758330282,0.993568434744905,0.877450980392157,0.969990605667044,12,9,15,0.2335,1.0,1.0,very_high
12,AGAP002300,85.0,0.992218967411205,0.968420291949704,0.916666666666667,0.969968904623847,10,7,19,0.657,1.0,1.0,high
13,AGAP004038,64.0,0.994049798608568,0.992773522185287,0.872549019607843,0.969366759881439,13,9,30,0.2105,0.9225,1.0,moderate
14,AGAP003769,176.0,0.984071768582937,0.95389507154213,0.950980392156863,0.96840048418548,13,8,30,0.2335,0.7715,1.0,moderate
15,AGAP002004,141.0,0.987184181618455,0.986341956930192,0.892156862745098,0.967926050437305,14,11,19,0.0075,1.0,1.0,very_high
16,AGAP009488,155.0,0.9859025997803,0.964879317820494,0.92156862745098,0.966728820726495,13,6,25,0.3015,0.6995,1.0,high
17,AGAP005127,47.0,0.995606005126327,0.967480849833791,0.887254901960784,0.965498237905458,17,12,25,0.0,0.864,1.0,high
18,AGAP010711,139.0,0.987367264738191,0.965457436045671,0.901960784313725,0.963713020045542,19,12,22,0.0,0.7305,1.0,high
19,AGAP005321,78.0,0.992676675210546,0.9937129643012,0.843137254901961,0.963079677876025,18,15,22,0.0,0.8895,1.0,high
20,AGAP001099,66.0,0.993592090809227,0.99747073276485,0.833333333333333,0.962703931900736,20,17,22,0.0,0.8065,1.0,high
