variable,definition,type,source,transformation,role
gene_id,Stable AGAP gene identifier,character,VEuPathDB/AgamP4,Direct import,Primary key
gene_symbol,Current gene symbol/name where available,character,VEuPathDB,Direct import,Annotation
chromosome,Chromosome/contig,character,VEuPathDB,Direct import,Annotation
biotype,Gene biotype,character,VEuPathDB,Direct import,Protein-coding primary universe; ncRNA secondary
transcript_count,Number of annotated transcripts,integer,VEuPathDB,Count transcripts per gene,Annotation complexity
expr_ovary,Mean normalized MozAtlas ovarian expression,numeric,GSE21689,Probe->gene map; replicate mean,Expression feature
expr_testis,Mean normalized MozAtlas testis expression,numeric,GSE21689,Probe->gene map; replicate mean,Expression feature
expr_female_body,Mean normalized female-body expression,numeric,GSE21689,Replicate mean,Expression feature
expr_male_body,Mean normalized male-body expression,numeric,GSE21689,Replicate mean,Expression feature
expr_female_midgut,Mean normalized female-midgut expression,numeric,GSE21689,Replicate mean,Expression feature
expr_female_salivary,Mean normalized female-salivary expression,numeric,GSE21689,Replicate mean,Expression feature
tau_tissue_specificity,Tau tissue-specificity index,"numeric [0,1]",GSE21689,Computed across tissue means after scale handling,Higher = more tissue-specific
female_male_delta,Average female-minus-male normalized signal over matched tissues,numeric,GSE21689,Computed,Sex-bias feature; name avoids assuming log2 scale
ovary_specificity_delta,Ovary expression minus mean non-ovary female tissues,numeric,GSE21689,Computed,Reproductive specificity
dmel_ortholog,One-to-one or best-supported D. melanogaster ortholog,character,VEuPathDB/MozAtlas/FlyBase,Mapped,Orthology
flybase_female_sterile,Drosophila female-sterility phenotype evidence,logical/NA,FlyBase,Controlled-vocabulary mapping,Positive-label evidence
flybase_reproductive_phenotype_count,Count of reproductive phenotype annotations,integer,FlyBase,Count mapped terms,Functional evidence
known_vector_control_target,Experimentally supported genetic-control landmark,logical,Primary literature,Curated from prespecified benchmark bibliography,Validation label only
landmark_class,suppression/modification/dual/other,character,Primary literature,Curated,Validation stratification
nucleotide_diversity_pi_proxy,Gene-level alternate-allele heterozygosity proxy across observed variant alleles,numeric,Ag1000G Phase 3,Computed from Ag3 allele frequencies; explicitly labelled proxy,Evolutionary robustness
snp_density,SNPs per callable kb,numeric,Ag1000G Phase 3,Computed,Evolutionary robustness
high_freq_variant_density,Variants above prespecified allele-frequency threshold per kb,numeric,Ag1000G Phase 3,Computed,Resistance-risk feature
crispr_potential_target_count,Number of specificity/GC-filtered Cas9 target sites,integer,Schmidt et al. code/data or recomputation,Computed/imported,Editability
crispr_good_target_count_1pct,Potential target sites without DRA >=1%,integer,Ag1000G/Schmidt framework,Computed,Evolutionary robustness
has_good_target_1pct,At least one good target at 1% DRA threshold,logical,Ag1000G/Schmidt framework,Computed,Editability
pu_probability,Bagged positive-unlabelled model probability,"numeric [0,1]",Model-derived,Generated by code only,Never manually entered
ensemble_score,Calibrated ensemble target-priority score,"numeric [0,1]",Model-derived,Generated by code only,Never manually entered
bootstrap_rank_median,Median rank across bootstrap resamples,numeric,Model-derived,Generated by code only,Uncertainty
bootstrap_top50_prob,Probability of ranking in top 50,"numeric [0,1]",Model-derived,Generated by code only,Rank stability
analysis_maturity,SOURCE/RECOMPUTED/MODEL/PENDING,character,Audit layer,Generated/assigned by pipeline,Prevents manual/model value conflation
